age,balance,campaign,day,default_yes,duration,education,housing_yes,loan_yes,marital_married,marital_single,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,pdays,poutcome_not_contacted,poutcome_other,poutcome_success,previous
58,2143,1,5,0,261,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
44,29,1,5,0,151,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
33,2,1,5,0,76,secondary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
35,231,1,5,0,139,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
28,447,1,5,0,217,tertiary,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
42,2,1,5,1,380,tertiary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
58,121,1,5,0,50,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
43,593,1,5,0,55,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
41,270,1,5,0,222,secondary,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
29,390,1,5,0,137,secondary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
53,6,1,5,0,517,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
57,162,1,5,0,174,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
51,229,1,5,0,353,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
57,52,1,5,0,38,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
60,60,1,5,0,219,primary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
33,0,1,5,0,54,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
28,723,1,5,0,262,secondary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
56,779,1,5,0,164,tertiary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
32,23,1,5,0,160,primary,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
25,50,1,5,0,342,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
40,0,1,5,0,181,primary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
44,-372,1,5,0,172,secondary,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
39,255,1,5,0,296,tertiary,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
52,113,1,5,0,127,secondary,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
